id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,volume_marketcap_ratio,high_low_range_pct,has_max_supply,circulating_supply_ratio,dist_ath_pct,label
bitcoin,btc,Bitcoin,61307.0,1230900112815,1,1230900112815,32771859834.0,64156.0,61349.0,-2579.3969066487844,-4.03747,-48180350557.85254,-3.7668,20039087.0,20039087.0,21000000.0,126080.0,-51.37438,67.81,90311.48265,0.026624304842293483,4.575461702717241,1,0.9542422380952381,-51.37438,baixa
ethereum,eth,Ethereum,1637.76,198134715933,2,198134715933,14929142442.0,1712.73,1638.58,-48.85644546515914,-2.89671,-5204305280.101257,-2.55942,120684430.4973158,120684430.4973158,,4946.05,-66.88741,0.432979,378155.15036,0.0753484434653458,4.525259676060985,0,0.0,-66.88741,lateral
tether,usdt,Tether,0.999422,186835136112,3,192298592699,54912789493.0,0.999628,0.99931,2.599e-05,0.0026,-21162167.648529053,-0.01133,186954314858.4442,192421256485.6962,,1.32,-24.46863,0.572521,74.55289,0.2939103994876105,0.03182195715042674,0,0.0,-24.46863,alta
binancecoin,bnb,BNB,585.57,79139581243,4,79139580755,689193872.0,609.6,586.42,-15.821029963266028,-2.63074,-1841897822.930756,-2.27447,134783991.86,134783991.03,200000000.0,1369.99,-57.2574,0.0398177,1470527.44509,0.008708586287357442,3.95279833566387,1,0.6739199593,-57.2574,lateral
usd-coin,usdc,USDC,0.999873,75839127921,5,75816454153,13535726849.0,1.0,0.999444,-6.2576501655753e-05,-0.00626,205933989.0,0.27228,75853701571.01091,75815056388.99588,,1.043,-4.20178,0.877647,13.89784,0.17847946330685496,0.05563093079752352,0,0.0,-4.20178,alta
ripple,xrp,XRP,1.14,70584006892,6,113729965726,1996621795.0,1.18,1.14,-0.030300978234006,-2.59857,-1813745515.713852,-2.50525,62053900985.0,99985653167.0,100000000000.0,3.65,-68.85233,0.00268621,42181.25477,0.028287169897495537,3.5087719298245648,1,0.62053900985,-68.85233,lateral
solana,sol,Solana,64.63,37448524121,7,40593348336,3098733847.0,67.92,64.69,-2.2208062098400774,-3.32184,-1301050180.354416,-3.35759,579389818.4639589,628045384.303968,,293.31,-77.96411,0.500801,12806.09743,0.08274648787192988,4.993043747101568,0,0.0,-77.96411,baixa
tron,trx,TRON,0.32143,30478871493,8,30478869399,511352579.0,0.327531,0.320761,-0.0049507600687649,-1.51687,-470394786.1945801,-1.51989,94824371415.51286,94824364900.97797,,0.431288,-25.47221,0.00180434,17714.23722,0.016777280586567682,2.110605715782155,0,0.0,-25.47221,lateral
figure-heloc,figr_heloc,Figure Heloc,1.027,19150986335,9,19150986335,18860990.0,1.033,1.005,0.0222943,2.21834,503714238.0,2.70128,18642161584.327,18642161584.327,,1.049,-2.08025,0.155357,561.24922,0.0009848573681831725,2.7860696517412964,0,0.0,-2.08025,alta
hyperliquid,hype,Hyperliquid,59.58,13256549921,10,56931085595,889459661.0,65.57,59.57,-5.067835067219477,-7.83906,-1065983227.501236,-7.4427,222445714.0741414,955307079.4341414,1000000000.0,75.48,-21.06423,3.81,1464.31506,0.06709586327517893,10.07218398522745,1,0.2224457140741414,-21.06423,baixa
dogecoin,doge,Dogecoin,0.084658,13096892237,11,13096952389,655852634.0,0.087396,0.084662,-0.0018266119844802,-2.11206,-259636250.04548076,-1.94389,154588916383.7052,154589626383.7052,,0.731578,-88.42802,8.69e-05,97315.8785,0.05007696651478526,3.2293118518343538,0,0.0,-88.42802,lateral
usds,usds,USDS,0.999788,10615095070,12,10608592956,130158980.0,0.999926,0.999366,1.03e-06,0.0001,-42764057.4981575,-0.40124,10617342651.63093,10610839160.61771,,1.15,-13.22654,0.948265,5.42485,0.012261687638375526,0.056035526523816596,0,0.0,-13.22654,alta
leo-token,leo,LEO Token,9.42,8670481279,13,9280945841,1688532.0,9.55,9.35,-0.1140455397117374,-1.19614,-105391294.1790123,-1.20092,920434276.9,985239504.0,,10.57,-10.67953,0.799859,1080.31242,0.00019474489888925115,2.1390374331550914,0,0.0,-10.67953,lateral
rain,rain,Rain,0.01270505,7911573247,14,14610309970,47251942.0,0.01341005,0.01270343,-0.0005865371710616,-4.41284,-362979422.6188822,-4.3867,622659833744.8651,1149866517330.697,1150000000000.0,0.01478538,-14.05067,0.00222126,472.10518,0.005972508946677265,5.5624347125146505,1,0.541443333691187,-14.05067,baixa
zcash,zec,Zcash,460.76,7725016374,15,7725234618,928085900.0,478.74,435.99,24.77,5.68235,485224864.0,6.70219,16757865.7905448,16758365.7905448,21000000.0,3191.93,-85.56484,16.08,2765.39953,0.12014031492847681,9.805270763090897,1,0.7979936090735619,-85.56484,alta
stellar,xlm,Stellar,0.198116,6715224318,16,9952048128,355933253.0,0.206879,0.195644,-0.0023389709286658,-1.16683,-51637450.33862591,-0.76309,33739106827.26846,50001786839.91258,,0.875563,-77.3063,0.00047612,41632.38142,0.05300392602610896,5.742573245282244,0,0.0,-77.3063,lateral
